metric_id,metric_name,category,definition,formula,data_format,source,system,stakeholder,layers,aliases,core_question,priority,dashboard_flag,extraction_notes
purchase_price,Purchase Price,Investment Basis,Contract price for asset,From PSA / closing statement,"PDF, excel",Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Purchase Price; Acquisition Price; Contract Price,Is the asset worth its basis?,High,Yes,Direct extract from source document.
closing_costs,Closing Costs,Investment Basis,"Transfer tax, legal, due diligence, title, etc.",Sum of transaction costs,"PDF, excel",Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Closing Costs,Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
total_acquisition_cost_all_in_basis,Total Acquisition Cost / All-in Basis,Investment Basis,True entry cost before operations,Purchase Price + Closing Costs + upfront CapEx + financing costs,"Excel, PDF",Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Total Acquisition Cost / All-in Basis; All-in Basis; Total Basis; Acquisition Basis; Total Acquisition Cost; Basis; Cost Basis,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
initial_capex_budget,Initial CapEx Budget,Investment Basis,Planned improvement spend at acquisition,Approved capex plan,"Excel, PDF",Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,,,Acquisition Underwriting; Business Plan; CapEx,Initial CapEx Budget; CapEx; Capital Expenditure; Capital Costs,Is further capital justified?; Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
total_project_cost,Total Project Cost,Investment Basis,Full cost to execute business plan,Total Acquisition Cost + all future CapEx + TI/LC where relevant,"Excel, PDF",Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,,,Acquisition Underwriting; Business Plan,Total Project Cost,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
debt_amount,Debt Amount,Investment Basis,Original loan proceeds,From loan docs,PDF,Acquisition Model / Closing Docs; Business Plan / Budget; Loan / Debt Docs,,,Acquisition Underwriting; Business Plan; Debt,Debt Amount; Proceeds; Initial Proceeds; Debt; Loan; Loan Amount; Debt Balance,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is the asset worth its basis?,High,Yes,Direct extract from source document.
equity_invested,Equity Invested,Investment Basis,Cash capital contributed,Total Project Cost - Debt Proceeds,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Equity Invested,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
basis_per_sf_per_unit_per_key,Basis per SF / per Unit / per Key,Investment Basis,Cost normalized for comparability,Total Basis ÷ NRA/GSF/Units/Keys,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Basis per SF / per Unit / per Key; Basis per SF; per Unit; per Key; Basis; Total Basis; Cost Basis,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
basis_vs_market_replacement_cost,Basis vs Market Replacement Cost,Investment Basis,Whether basis is below/above replacement,Total Basis ÷ estimated replacement cost,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Basis vs Market Replacement Cost; Basis; Total Basis; Cost Basis,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
going_in_cap_rate,Going-in Cap Rate,Investment Basis,Yield at entry on in-place NOI,NOI at acquisition ÷ purchase price,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Going-in Cap Rate; Capitalization Rate; Exit Cap Rate; Cap Rate,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
