metric_id,metric_name,category,definition,value,source_file,sheet,label_cell,value_cell,matched_alias,confidence,match_method,source_layer
purchase_price,Purchase Price,Investment Basis,Contract price for asset,25507408.695652176,Retail-Business Plan 2022.xlsx,Assumption,B9,D9,Purchase Price,high,right,business_plan
purchase_price,Purchase Price,Investment Basis,Contract price for asset,25507408.695652176,Retail-Acquisition Underwriting.xlsx,Assumption,B9,D9,Purchase Price,high,right,acquisition_underwriting
closing_costs,Closing Costs,Investment Basis,"Transfer tax, legal, due diligence, title, etc.",510148.1739130435,Retail-Business Plan 2022.xlsx,Assumption,F14,G14,Closing Costs,high,right,business_plan
closing_costs,Closing Costs,Investment Basis,"Transfer tax, legal, due diligence, title, etc.",510148.1739130435,Retail-Acquisition Underwriting.xlsx,Assumption,F14,G14,Closing Costs,high,right,acquisition_underwriting
total_acquisition_cost_all_in_basis,Total Acquisition Cost / All-in Basis,Investment Basis,True entry cost before operations,30097781.92394145,Retail-Business Plan 2022.xlsx,Assumption,B12,D12,Basis,high,right,business_plan
total_acquisition_cost_all_in_basis,Total Acquisition Cost / All-in Basis,Investment Basis,True entry cost before operations,30097781.92394145,Retail-Acquisition Underwriting.xlsx,Assumption,B12,D12,Basis,high,right,acquisition_underwriting
initial_capex_budget,Initial CapEx Budget,Investment Basis,Planned improvement spend at acquisition,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
initial_capex_budget,Initial CapEx Budget,Investment Basis,Planned improvement spend at acquisition,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
debt_amount,Debt Amount,Investment Basis,Original loan proceeds,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
debt_amount,Debt Amount,Investment Basis,Original loan proceeds,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
debt_amount,Debt Amount,Investment Basis,Original loan proceeds,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
debt_amount,Debt Amount,Investment Basis,Original loan proceeds,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
basis_per_sf_per_unit_per_key,Basis per SF / per Unit / per Key,Investment Basis,Cost normalized for comparability,30097781.92394145,Retail-Business Plan 2022.xlsx,Assumption,B12,D12,Basis,high,right,business_plan
basis_per_sf_per_unit_per_key,Basis per SF / per Unit / per Key,Investment Basis,Cost normalized for comparability,30097781.92394145,Retail-Acquisition Underwriting.xlsx,Assumption,B12,D12,Basis,high,right,acquisition_underwriting
basis_vs_market_replacement_cost,Basis vs Market Replacement Cost,Investment Basis,Whether basis is below/above replacement,30097781.92394145,Retail-Business Plan 2022.xlsx,Assumption,B12,D12,Basis,high,right,business_plan
basis_vs_market_replacement_cost,Basis vs Market Replacement Cost,Investment Basis,Whether basis is below/above replacement,30097781.92394145,Retail-Acquisition Underwriting.xlsx,Assumption,B12,D12,Basis,high,right,acquisition_underwriting
going_in_cap_rate,Going-in Cap Rate,Investment Basis,Yield at entry on in-place NOI,0.0575,Retail-Business Plan 2022.xlsx,Assumption,B8,D8,Cap Rate,high,right,business_plan
going_in_cap_rate,Going-in Cap Rate,Investment Basis,Yield at entry on in-place NOI,0.0575,Retail-Acquisition Underwriting.xlsx,Assumption,B8,D8,Cap Rate,high,right,acquisition_underwriting
mark_to_market_basis_gap,Mark-to-Market Basis Gap,Investment Basis,Difference between actual basis and current market value,30097781.92394145,Retail-Business Plan 2022.xlsx,Assumption,B12,D12,Basis,high,right,business_plan
mark_to_market_basis_gap,Mark-to-Market Basis Gap,Investment Basis,Difference between actual basis and current market value,30097781.92394145,Retail-Acquisition Underwriting.xlsx,Assumption,B12,D12,Basis,high,right,acquisition_underwriting
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,153984.32,Financial Statement 2022.xlsx,2022,C17,D17,Revenue,high,right,actuals_2022
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,0.0,Retail-Business Plan 2022.xlsx,Proforma,B23,F23,Revenue,high,right,business_plan
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,122712.83,Financial Statement 2021.xlsx,2021,C17,D17,Revenue,high,right,actuals_2021
